slug,name,city,country,brand,status,current_url
the-ritz-carlton-san-juan-puerto-rico,"The Ritz-Carlton, San Juan",Carolina,Puerto Rico,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4197_2_0_0309.jpg
the-ritz-carlton-south-beach-united-states,"The Ritz-Carlton, South Beach",Miami Beach,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/3973_2_0_0306.jpg
the-ritz-carlton-turks-caicos-turks-and-caicos-islands,"The Ritz-Carlton, Turks & Caicos",Providenciales,Turks And Caicos Islands,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16178080_2_0_0301.jpg
the-ritz-carlton-vienna-austria,"The Ritz-Carlton, Vienna",Vienna,Austria,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/12014338_2_0_0226.jpg
the-st-regis-aspen-resort-united-states,The St. Regis Aspen Resort,Aspen,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4419_2_0_0314.jpg
the-st-regis-atlanta-united-states,The St. Regis Atlanta,Atlanta,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/1690724_2_0_0313.jpg
the-st-regis-bali-resort-indonesia,The St. Regis Bali Resort,Bali,Indonesia,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/6606680_2_0_0303.jpg
the-st-regis-bermuda-resort-bermuda,The St. Regis Bermuda Resort,St. George,Bermuda,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16198050_2_0_0301.jpg
the-st-regis-bora-bora-resort-french-polynesia,The St. Regis Bora Bora Resort,Bora Bora,French Polynesia,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4173_2_0_0309.jpg
the-st-regis-hong-kong-china,The St. Regis Hong Kong,Hong Kong,China,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/15889282_2_1_0307.jpg
the-st-regis-maldives-vommuli-resort-maldives,The St. Regis Maldives Vommuli Resort,Dhaalu Atoll,Maldives,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/15577238_2_9_0303.jpg
the-st-regis-new-york-united-states,The St. Regis New York,New York City,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4634_2_0_0312.jpg
the-st-regis-red-sea-resort-saudi-arabia,The St. Regis Red Sea Resort,Red Sea,Saudi Arabia,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/18052042_2_0_0225.jpg
the-st-regis-rome-italy,The St. Regis Rome,Rome,Italy,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/3889_2_1_0304.jpg
the-st-regis-san-francisco-united-states,The St. Regis San Francisco,San Francisco,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4099_2_19_0312.jpg
the-st-regis-venice-italy,The St. Regis Venice,Venice,Italy,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4417_2_0_0302.jpg
the-st-regis-washington-dc-united-states,"The St. Regis Washington, DC",Washington,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4640_2_0_0228.jpg
vedema-a-luxury-collection-resort-santorini-greece,"Vedema, a Luxury Collection Resort, Santorini",Santorini,Greece,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/3919_2_0_0311.jpg
