slug,name,new_image_url
carmel-charme-resort-brazil,Carmel Charme Resort,https://carmelhoteis.com.br/carmelcharme/wp-content/uploads/sites/2/2025/03/pginicial1-2.jpg
casa-angelina-italy,Casa Angelina,https://www.casangelina.com/wp-content/themes/casangelina/assets/images/home/horizontal.jpg
casa-de-campo-resort-villas-dominican-republic,Casa de Campo Resort & Villas,https://www.casadecampo.com.do/wp-content/uploads/2026/01/Teeth-of-The-Dog-356.jpg
casadelmar-france,Casadelmar,https://www.casadelmar.fr/media/cache/jadro_resize/rc/89LB4Rv51763367667/jadroRoot/medias/564a4756809a6/a1e4399.jpg
castelfalfi-italy,Castelfalfi,https://www.castelfalfi.com/assets/img/castelfalfi_og-image-backup.jpg
chateau-daudrieu-france,Chateau d'Audrieu,https://2lcollection.com/_novaimg/5640360-1591604_0_0_2200_1467_2000_1333.jpg
chateau-de-fonscolombe-france,Chateau de Fonscolombe,https://2lcollection.com/_novaimg/5640304-1591631_0_0_2200_1467_2000_1333.jpg
chateau-de-la-barre-france,Chateau de La Barre,https://admin.chateaudelabarre.com/uploads/grand_salon_tn_2_971df5a4e5.jpg
chateau-de-la-chevre-dor-france,Chateau de la Chevre d'Or,https://www.chevredor.com/public/images/galerie/2025/03/chevre-d-or-suite-chambre-1_resize_1400x1400.webp
chewton-glen-united-kingdom,Chewton Glen,https://www.chewtonglen.com/media/33mp00v5/header1.png?anchor=center&mode=crop&quality=70&width=2000&height=1200&rnd=133729360749800000
chteau-sainte-sabine-france,Château Sainte Sabine,https://www.saintesabine.com/_novaimg/5229907-1539822_0_0_4800_3200_2000_1333.jpg
clinique-la-prairie-switzerland,Clinique La Prairie,https://www.cliniquelaprairie.com/wp-content/uploads/2025/04/KV-web.jpg
cobblers-cove-barbados,Cobblers Cove,https://images.squarespace-cdn.com/content/v1/60cb2aa66a521e3e2f95e81f/b3a46b84-223a-451d-9cf7-b23972f7f1e7/2025+COBBLERS+COVE+%28drone%29+%40+CARIBANA+%281%29.jpg+%285%29.jpg
convento-do-espinheiro-hotel-portugal,Convento do Espinheiro Hotel,https://cdn2.paraty.es/convento-espinheiro/images/5c468247728e8f4=s1900
coral-sands-bahamas,Coral Sands,https://www.coralsands.com/wp-content/uploads/2025/03/STILLS-Coral-Sands9.jpg
cour-des-loges-france,Cour des Loges,https://media.radissonhotels.net/image/cour-des-loges-lyon-a-radisson-collection-hotel/exterior/16256-144073-f85568097_4K.jpg?impolicy=HomeHero
cristalino-lodge-brazil,Cristalino Lodge,https://cristalino-lodge.transforms.svdcdn.com/production/uploads/Main-Folder-2.0/Header-Main-Images/Special_Bungalow/Cristalino-Jungle-Lodge-Private-Bungalow-Luis-Gomes.jpg?w=1200&h=630&q=82&auto=format&fit=crop&dm=1689774522&s=1733f004b88b183d683b92880541622f
crossbasket-castle-united-kingdom,Crossbasket Castle,https://www.crossbasketcastle.com/media/lqmblxsc/castle-exterior.jpg?width=1024&height=768&quality=70&v=1dcbdd153fee320
culloden-estate-and-spa-united-kingdom,Culloden Estate and Spa,https://www.cullodenestateandspa.com/wp-content/uploads/2025/03/9-1024x576.png
d-maris-bay-turkey,D Maris Bay,https://fs.dmarisbay.com/cdn/uploads/000001090_hero.jpg
dan-tel-aviv-israel,Dan Tel Aviv,https://www.danhotels.com/sites/default/files/2025-08/Untitled%20design%20%285%29_6.jpg
dromoland-castle-ireland,Dromoland Castle,https://www.dromoland.ie/wp-content/uploads/2025/08/Exterior-With-Lake-Full-Res-1-400x295.jpg
euphoria-retreat-greece,EUPHORIA RETREAT,https://www.euphoriaretreat.com/app/uploads/sites/74/2024/06/location.jpg
el-encanto-santa-barbara-united-states,"El Encanto, Santa Barbara",https://www.elencanto.com/_novaimg/5814752-1613819_0_0_4800_3177_2200_1456.jpg
ellerman-house-south-africa,Ellerman House,https://www.ellerman.co.za/storage/app/media/Homepage/Banner%20Images/ellerman-house-banner-background-video.jpg
elounda-gulf-villas-greece,Elounda Gulf Villas,https://eloundavillas.com/wp-content/uploads/2024/11/AerialSamples-48.jpg
estancia-vik-jose-ignacio-uruguay,Estancia Vik Jose Ignacio,https://www.estanciavik.com/wp-content/uploads/2021/03/Estancia-IMG_7582-min-1.jpg
evermore-orlando-resort-united-states,Evermore Orlando Resort,https://evermoreresort.com/sites/default/files/styles/square_medium/public/2025-09/MAX_0071-1_web_800x800.jpg.webp
excelsior-hotel-ernst-germany,Excelsior Hotel Ernst,https://www.excelsiorhotelernst.com/wp-content/uploads/2022/04/Excelsior-Hotel-Ernst-Ankunft-Best-Ager-31.jpg
fleur-de-loire-france,Fleur de Loire,https://fleurdeloire.com/media/cache/jadro_resize/rc/b1HdC0uV1774870444/jadroRoot/medias/61cda6a725b54/102fleur-de-loire-180434-mai-kya-studio.jpg
fogo-island-inn-canada,Fogo Island Inn,https://fogoislandinn.ca/wp-content/uploads/2025/01/P.FII_Northern_Lights_Over_The_Fogo_Island_Inn_xgaplus.jpg
grand-hotel-fasano-italy,Grand Hotel Fasano,https://www.ghf.it/media/0n0iuoyw/grand-hotel-fasano-gardone-riviera-hotel-exterior-5.jpg
grand-hotel-minerva-italy,Grand Hotel Minerva,https://grandhotelminerva.com/wp-content/themes/startup_pro/images/home/img3.jpg
grand-hotel-principe-di-piemonte-italy,Grand Hotel Principe di Piemonte,https://www.principedipiemonte.com/assets/i/og_default_image.jpg
grand-resort-bad-ragaz-switzerland,Grand Resort Bad Ragaz,https://www.resortragaz.ch/uploads/optimized/files/Images/01_Resort/Aussen/2137012/grand-resort-bad-ragaz-aussenansicht-totale-nahe_bb26af2e86ec101a5dbc3ce59a2288b2.jpg
great-fosters-united-kingdom,Great Fosters,https://alexanderhotels.co.uk/wp-content/uploads/2019/03/Great-Fosters-reflected-in-the-moat-Copy.jpg
