slug,name,city,country,hotel_company,current_url,new_image_url,image_status
the-ritz-carlton-reynolds-lake-oconee-united-states,"The Ritz-Carlton Reynolds, Lake Oconee","Greensboro",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/6647337_2_0_0316.jpg,,
the-ritz-carlton-shanghai-pudong-china,"The Ritz-Carlton Shanghai, Pudong","Shanghai",China,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/5940532_2_0_0303.jpg,,
the-ritz-carlton-dove-mountain-united-states,"The Ritz-Carlton, Dove Mountain","Tucson",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4956814_2_0_0313.jpg,,
the-ritz-carlton-half-moon-bay-united-states,"The Ritz-Carlton, Half Moon Bay","Half Moon Bay",United States,"Luxury Group at Marriott International",https://cache.marriott.com/is/image/marriotts7prod/sfohb-aerial-0036:Classic-Hor?wid=1300&fit=constrain,,
the-ritz-carlton-hong-kong-china,"The Ritz-Carlton, Hong Kong","Hong Kong",China,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/6769318_2_5_0314.jpg,,
the-ritz-carlton-laguna-niguel-united-states,"The Ritz-Carlton, Laguna Niguel","Dana Point",United States,"Luxury Group at Marriott International",https://cache.marriott.com/is/image/marriotts7prod/laxrz-aerial-0017:Classic-Hor?wid=1300&fit=constrain,,
the-ritz-carlton-millenia-singapore-singapore,"The Ritz-Carlton, Millenia Singapore","Singapore",Singapore,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/3812_2_0_0303.jpg,,
the-ritz-carlton-new-orleans-united-states,"The Ritz-Carlton, New Orleans","New Orleans",United States,"Luxury Group at Marriott International",https://cache.marriott.com/is/image/marriotts7prod/msyrz-exterior-0048:Classic-Hor?wid=1300&fit=constrain,,
the-ritz-carlton-osaka-japan,"The Ritz-Carlton, Osaka","Osaka",Japan,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/15424109_2_0_0223.jpg,,
the-ritz-carlton-san-juan-puerto-rico,"The Ritz-Carlton, San Juan","Carolina",Puerto Rico,"Luxury Group at Marriott International",https://cache.marriott.com/is/image/marriotts7prod/sjurz-exterior-0001:Classic-Hor?wid=1300&fit=constrain,,
the-ritz-carlton-south-beach-united-states,"The Ritz-Carlton, South Beach","Miami Beach",United States,"Luxury Group at Marriott International",https://cache.marriott.com/is/image/marriotts7prod/miarb-exterior-0001:Classic-Hor?wid=1300&fit=constrain,,
the-ritz-carlton-turks-caicos-turks-and-caicos-islands,"The Ritz-Carlton, Turks & Caicos","Providenciales",Turks And Caicos Islands,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16178080_2_0_0301.jpg,,
the-ritz-carlton-vienna-austria,"The Ritz-Carlton, Vienna","Vienna",Austria,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/12014338_2_0_0226.jpg,,
