"status","slug","name","current_url"
"404_BROKEN","hotel-splendide-royal-paris-france","Hotel Splendide Royal Paris","https://media.virtuoso.com/m/Images/Brochures/15739301_2_1_0223.jpg"
"404_BROKEN","hyatt-regency-aruba-resort-spa-casino-aruba","Hyatt Regency Aruba Resort, Spa & Casino","https://media.virtuoso.com/m/Images/Brochures/11152928_2_0_0318.jpg"
"404_BROKEN","hyatt-regency-nice-palais-de-la-mediterranee-france","Hyatt Regency Nice Palais de la Mediterranee","https://media.virtuoso.com/m/Images/Brochures/4473_2_1_0310.jpg"
"404_BROKEN","intercontinental-bora-bora-resort-thalasso-spa-french-polynesia","InterContinental Bora Bora Resort & Thalasso Spa","https://media.virtuoso.com/m/Images/Brochures/15542952_2_0_0226.jpg"
"404_BROKEN","intercontinental-buckhead-atlanta-united-states","InterContinental Buckhead Atlanta","https://media.virtuoso.com/m/Images/Brochures/4192_2_0_0311.jpg"
"404_BROKEN","intercontinental-hayman-great-barrier-reef-australia","InterContinental Hayman Great Barrier Reef","https://media.virtuoso.com/m/Images/Brochures/16129580_2_38_0228.jpg"
"404_BROKEN","intercontinental-paris-le-grand-france","InterContinental Paris Le Grand","https://media.virtuoso.com/m/Images/Brochures/4345_2_31_0313.jpg"
"404_BROKEN","intercontinental-phuket-resort-thailand","InterContinental Phuket Resort","https://media.virtuoso.com/m/Images/Brochures/16633734_2_0_0311.jpg"
"404_BROKEN","intercontinental-sydney-australia","InterContinental Sydney","https://media.virtuoso.com/m/Images/Brochures/3813_2_0_0228.jpg"
"404_BROKEN","inverlochy-castle-hotel-united-kingdom","Inverlochy Castle Hotel","https://media.virtuoso.com/m/Images/Brochures/4216_2_0_0309.jpg"
"404_BROKEN","island-shangri-la-hong-kong-china","Island Shangri-La, Hong Kong","https://media.virtuoso.com/m/Images/Brochures/4339_2_0_0310.jpg"
"404_BROKEN","joali-being-maldives","JOALI BEING","https://media.virtuoso.com/m/Images/Brochures/16255745_2_0_0224.jpg"
"404_BROKEN","jumeirah-marsa-al-arab-resort-residences-united-arab-emirates","Jumeirah Marsa Al Arab Resort & Residences","https://media.virtuoso.com/m/Images/Brochures/16585524_2_0_0315.jpg"
"404_BROKEN","jumeirah-olhahali-island-maldives","Jumeirah Olhahali Island","https://media.virtuoso.com/m/Images/Brochures/16314108_2_8_0221.jpg"
"404_BROKEN","kimpton-seafire-resort-spa-grand-cayman-cayman-islands","Kimpton Seafire Resort + Spa, Grand Cayman","https://media.virtuoso.com/m/Images/Brochures/15602214_2_0_0222.jpg"
"404_BROKEN","kinsterna-hotel-greece","Kinsterna Hotel","https://media.virtuoso.com/m/Images/Brochures/18340014_2_0_0301.jpg"
"404_BROKEN","la-bouitte-france","La Bouitte","https://media.virtuoso.com/m/Images/Brochures/15801636_2_0_0224.jpg"
"404_BROKEN","la-fiermontina-luxury-home-italy","La Fiermontina Luxury Home","https://media.virtuoso.com/m/Images/Brochures/18385738_2_0_0316.jpg"
"404_BROKEN","la-reserve-paris-apartments-france","La Reserve Paris Apartments","https://media.virtuoso.com/m/Images/Brochures/4126_2_0_0308.jpg"
"404_BROKEN","la-zambra-resort-spain","La Zambra Resort","https://media.virtuoso.com/m/Images/Brochures/18218783_2_0_0307.jpg"
"404_BROKEN","ladera-resort-saint-lucia","Ladera Resort","https://media.virtuoso.com/m/Images/Brochures/4130_2_6_0312.jpg"
"404_BROKEN","laplaya-beach-golf-resort-united-states","LaPlaya Beach & Golf Resort","https://media.virtuoso.com/m/Images/Brochures/4122_2_0_0312.jpg"
"404_BROKEN","lesante-cape-greece","Lesante Cape","https://media.virtuoso.com/m/Images/Brochures/17901845_2_0_0224.jpg"
"404_BROKEN","llao-llao-resort-golf-spa-argentina","Llao Llao Resort, Golf & Spa","https://media.virtuoso.com/m/Images/Brochures/4002_2_0_0306.jpg"
"404_BROKEN","lucknam-park-emblems-collection-united-kingdom","Lucknam Park, Emblems Collection","https://media.virtuoso.com/m/Images/Brochures/4651_2_12_0314.jpg"
